title_sv,title_en,short,starts_at,ends_at,dot,all_day,location_sv,location_en,drink,food,cash,description_sv,description_en
Hälsningsanförande,Welcome speech,,2017-08-21 10:30:00,2017-08-21 11:30:00,,false,Kårhusets aula,Kårhusets aula,false,false,false,Rektorns hälsningsanförande. Rektorn hälsar alla nya studenter välkomna till LTH.,Description missing
Upprop,Registration,,2017-08-21 11:30:00,2017-08-21 12:00:00,,false,Mattehuset,Mattehuset,false,true,false,Upprop. Missa inte detta.,Description missing
SVL info,SVL info,,2017-08-21 13:30:00,2017-08-21 14:30:00,,false,E:A (E-huset),E:A (E-huset),false,false,false,Studie- och karriärvägledningen informerar. Träffa äldra studenter som är engagerade i utbildningen,Description missing
Rundvandring,Campus tour,,2017-08-21 14:30:00,2017-08-21 17:00:00,,false,Campus,Campus,false,false,false,Rundvandring på LTH,Description missing
Fadderhäng,Gathering with Mentors group,,2017-08-21 17:00:00,2017-08-21 20:00:00,,false,Hemma hos din fadder,Hemma hos din fadder,false,false,false,Faddergruppshäng. Mys med faddergruppenhemma hos en av dina faddrar. Faddrarna bjuder på mat.,Description missing
Välkomstkväll,Welcome evening,,2017-08-21 20:00:00,2017-08-21 22:00:00,,false,MH,MH,false,false,false,Välkomstkväll i Mattehuset med alla faddergrupper!,Description missing
Orange tisdag,Orange Tuesday,,2017-08-22 06:00:00,2017-08-22 23:59:00,,true,Överallt,Överallt,false,false,false,"Orangetisdag! Hylla din sektion med att bära något oranget idag, kanske din nya overall eller annat i samma fina kulör!",Description missing
Framtidens Ingenjör,Framtidens Ingenjör,,2017-08-22 08:00:00,2017-08-22 16:00:00,,false,Campus,Campus,false,false,false,"Framtidens Ingenjör. Föreläsningar, övningar och workshops som studie- och yrkesvägledningen anordna för att förklara vad en ingenjörsyrket innebär.",Description missing
Välkomstgasque,Welcome sittning,,2017-08-22 18:00:00,2017-08-22 23:00:00,double,false,"Gasquesalen, Kårhuset","Gasquesalen, Kårhuset",true,true,true,Välkomstgasque. Din första finsittning med F-sektionen! Här får du lära dig hur en sittning går till. Anmälning via fadder. Kom i tid! Klädkod: Kavaj,Description missing
Programmets dag,Programmets dag,,2017-08-23 09:00:00,2017-08-23 17:00:00,,false,"F- Fysicum, Rydberg
n- Fysikum, K-space
π - MH:H","F- Fysicum, Rydberg
n- Fysikum, K-space
π - MH:H",false,true,false,Programmets dag. Respektive programledare beskriver utbildningen. Lärare i åk 1 presenterar sig och sina kurser. Dessutom berättar studenter om studierådet och samverkansinlärning.,Description missing
Vattenhallen / Max IV,Vattenhallen / Max IV,,2017-08-23 14:30:00,2017-08-23 16:30:00,,false,"F, n - Vattenhallen
π - MAX IV","F, n - Vattenhallen
π - MAX IV",false,false,false,f & n: Experiment för fysiker och nanovetare i vattenhallen π: Studiebesök på MAX IV,Description missing
Äventyrsuppdrag,Adventurous assignments,,2017-08-23 17:00:00,2017-08-23 22:00:00,,false,MH,MH,false,false,false,Äventyrliga uppdrag i Lund med faddergruppen.,Description missing
Ubåtslabb och S.P.E.X,Ubåtslabb och S.P.E.X,,2017-08-24 08:30:00,2017-08-24 15:00:00,,false,"Fysicum, Rydberg","Fysicum, Rydberg",false,false,false,Ubåtslaboration (alla) + SP.EX ( f n ) Alla nollor tävlar i ubåtsbyggande med diverse godtyckliga föremål för att uppfylla vissa kriterier. Martin Magnusson visar hur spexigt Spektroskopi kan vara.,Description missing
Ovvelekar,Ovverall games,,2017-08-24 17:00:00,2017-08-24 20:00:00,single,false,Gräsmatta vid Loftet,Gräsmatta vid Loftet,false,false,false,Overallekar! Bland det bästa med att vara teknolog! Ta gärna med ett litet mellanmål så att du orkar ha så roligt som möjligt hela eftermiddagen! Klädkod: Overall,Description missing
Min roll som medmänniska på LTH - Zanyar Adami,Min roll som medmänniska på LTH - Zanyar Adami,,2017-08-24 15:00:00,2017-08-23 16:30:00,,false,Kårhusets aula,Kårhusets aula,false,false,false,Min roll som medmänniska på LTH - Zanyar Adami,Description missing
Sektionssafari,Sektionssafari,,2017-08-25 12:30:00,2017-08-25 14:00:00,,false,Campus,Campus,false,false,false,Sektionssafari och rundvandring fortsätter på LTH.,Description missing
Sektionssafari,Sektionssafari,,2017-08-25 09:00:00,2017-08-25 11:00:00,single,false,Campus,Campus,false,false,false,Sektionssafari och rundvandring på LTH. Här får ni se hur vår fina sektion fungerar och hur du kan engagera dig samt hur du tar dig runt och hittar förnödenheter på LTH. En del praktikaliteter för din studietid kommer även att ordnas.,Description missing
Hur läser man matte vid LTH?,Hur läser man matte vid LTH?,,2017-08-25 11:00:00,2017-08-25 12:00:00,,false,Kårhusets aula,Kårhusets aula,false,false,false,Föreläsning: “Hur läser man matematik vid LTH?”,Description missing
Camp,Camp,,2017-08-25 17:00:00,2017-08-26 12:00:00,single,false,Samling utanför MH,Samling utanför MH,false,true,true,"Camp! Det roligaste på hela första veckan, om inte hela nollningen. Detta vill du inte missa! Medtag liggunderlag och sovsäck! Klädkod: Overall.",Description missing
Faddergruppspicknick,Mentor group picnic,,2017-08-25 15:00:00,2017-08-25 17:00:00,single,false,Utanför MH,Utanför MH,false,false,false,Faddergruppspicknick,Description missing
Nolledans och lekar med reiseleiteriet,Nolledans and games with reiseleiteriet,,2017-08-26 17:00:00,2017-08-26 18:00:00,single,false,"Amfiteatern, Kårhuset","Amfiteatern, Kårhuset",false,false,false,"Reiseleiteriet fixar underbara lekar och lär ut nolledanser i Amfiteatern. På med ovven och tagga inför kvällen sittningen, tillsammans med e,k och ING. Klädkod: Overall.",Description missing
Flower powEr-sittning,Flower powEr-sittning,,2017-08-26 18:00:00,2017-08-26 22:00:00,double,false,MH,MH,true,true,true,flower power-sittning Klädkod: Overall och gärna någon temaenlig detalj,Description missing
UtEDischo,UtEDischo,,2017-08-26 22:00:00,2017-08-27 02:00:00,,false,"E,D-parkeringen","E,D-parkeringen",true,false,true,"Utedischo! En återkommande succé med dansgolv, barer och fasligt massa människor! Passa på att byta overallsdelar med studenterna på andra program! Klädkod: Overall.",Description missing
Unionen står utanför MH,Unionen outside of MH ,,2017-08-28 10:00:00,2017-08-28 15:00:00,,false,Utanför MH,Utanför MH,false,false,false,Unionen står utanför mattehuset. Spring förbi dem och kolla hur de kan hjälpa dig att få så mycket som möjligt ut av din studietid. De utlovar tävlingar och gött häng.,Description missing
Andevandring,Spirit walk ,,2017-08-28 17:00:00,2017-08-28 20:00:00,,false,MH,MH,false,false,false,"Andevandring! Nya äventyr väntar, så se till att vara på plats när det händer!",Description missing
Orangetisdag,Orange Tuesday,,2017-08-29 06:00:00,2017-08-29 23:59:00,,true,Överallt,Överallt,false,false,false,Orangetisdag! Ta på dig det orangeaste du äger (ovven kanske?) för att visa vilken sektion som har den snyggaste färgen!,Description missing
Kårkamp,Battle of th guilds,,2017-08-29 12:00:00,2017-08-29 13:00:00,,false,Amfiteatern,Amfiteatern,false,true,false,Kårkamp. Nu är det dags att visa upp att f är bäst och vackrast genom tävlingar och lek med de andra sektionerna. Kåren säljer enklare mat men själva eventet är gratis.,Description missing
Uppdragshäng,Hang out with your mission group,,2017-08-29 17:00:00,2017-08-29 22:00:00,,false,MH,MH,false,true,false,Uppdragshäng,Description missing
Draggning,Draggning,,2017-08-30 17:00:00,2017-08-30 18:30:00,,false,Sjön Sjön,Sjön Sjön,false,false,false,Draggning: Tävla med de andra sektionerna om vem som kan hitta flest skatter i sjön Sjöns mytomspunna vatten.,Description missing
UppvärmnING,UppvärmnING,,2017-08-30 18:30:00,2017-08-30 20:30:00,,false,Mellan Ikdc och KC,Mellan Ikdc och KC,false,true,false,UppvärmninING. Foodmarket! Känner du dig sliten efter att ha badat i sjön Sjön? Ät gott och häng med dina vänner.,Description missing
